xmlid	basename	title	au-name
FRA00301	FRA00301_Aimard	Les Trappeurs de l'Arkansas : ELTeC edition	Aimard, Gustave 
FRA01302	FRA01302_Flaubert	Madame Bovary : ELTeC edition	Flaubert, Gustave 
FRA02802	FRA02802_Mirbeau	La Maréchale : ELTeC edition	Mirbeau, Octave 
FRA03301	FRA03301_Rattazzi	La Mexicaine : ELTeC edition	Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse] 
FRA02501	FRA02501_Loti	Mon frère Yves : ELTeC edition	Loti, Pierre 
FRA02602	FRA02602_Malot	Sans famille : ELTeC edition	Malot, Hector 
FRA02402	FRA02402_LeRouge	La Conspiration des Milliardaires : ELTeC edition	Le Rouge, Gustave 
FRA04002	FRA04002_Verne	Le Secret de Wilhelm Storitz : ELTeC edition	Verne, Jules 
FRA01601	FRA01601_GautierJ	La Sœur du Soleil : ELTeC edition	Gautier, Judith 
FRA03901	FRA03901_Stolz	La Maison roulante : ELTeC edition	Stolz, Madame de [Fanny de Bégon] 
FRA00401	FRA00401_Allais	Le Captain Cap : ELTeC edition	Allais, Alphone 
FRA03401	FRA03401_Reybaud	Mademoiselle de Malepeire : ELTeC edition	Reybaud, Fanny [Hippolyte Arnaud] 
FRA01901	FRA01901_Gaboriau	Le crime d'Orcival : ELTeC edition	Gaboriau, Émile 
FRA01603	FRA01603_GautierJ	Les Princesses d'Amour: courtisanes japonaises : ELTeC edition	Gautier, Judith 
FRA00503	FRA00503_Balzac	Le curé de village : ELTeC edition	Balzac, Honoré de 
FRA01101	FRA01101_Dombre	Une pupille gênante : ELTeC edition	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] 
FRA01801	FRA01801_Gay	Ellenore : ELTeC edition	Gay, Marie Françoise Sophie 
FRA01203	FRA01203_Feval	le Loup blanc : ELTeC edition	Féval, Paul Henri Corentin [dit Paul Féval père] 
FRA03703	FRA03703_Sand	Le Compagnon du Tour de France : ELTeC edition	Sand, George [Amantine Lucile Aurore Dupin] 
FRA03101	FRA03101_Ponson	La baronne trépassée : ELTeC edition	Ponson du Terrail, Pierre Alexis 
FRA02701	FRA02701_Maupassant	Bel-Ami : ELTeC edition	Maupassant, Guy de 
FRA03202	FRA03202_Rachilde	Monsieur Vénus : ELTeC edition	Rachilde [Marguerite Vallette-Eymery] 
FRA00602	FRA00602_Boisgobey	Rubis sur l'ongle : ELTeC edition	Boisgobey, Fortuné du 
FRA03102	FRA03102_Ponson	La résurrection de Rocambole : ELTeC edition	Ponson du Terrail, Pierre Alexis 
FRA00601	FRA00601_Boisgobey	Le crime de l'omnibus : ELTeC edition	Boisgobey, Fortuné du 
FRA00501	FRA00501_Balzac	Albert Savarus : ELTeC edition	Balzac, Honoré de 
FRA00302	FRA00302_Aimard	Belle rivière : ELTeC edition	Aimard, Gustave 
FRA01401	FRA01401_Fleuriot	Un enfant gâté : ELTeC edition	Fleuriot, Zénaïde 
FRA01403	FRA01403_Fleuriot	Alberte : ELTeC edition	Fleuriot, Zénaïde 
FRA01701	FRA01701_GautierT	Militona : ELTeC edition	Gautier, Théophile 
FRA01402	FRA01402_Fleuriot	En congé : ELTeC edition	Fleuriot, Zénaïde 
FRA01001	FRA01001_DelarueMardrus	Comme tout le monde : ELTeC edition	Delarue-Mardrus, Lucie 
FRA01201	FRA01201_Feval	Le Cavalier Fortune : ELTeC edition	Féval, Paul Henri Corentin [dit Paul Féval père] 
FRA01702	FRA01702_GautierT	Le roman de la momie : ELTeC edition	Gautier, Théophile 
FRA04001	FRA04001_Verne	Un capitaine de quinze ans : ELTeC edition	Verne, Jules 
FRA03001	FRA03001_Ohnet	La Grande Marnière : ELTeC edition	Ohnet, Georges 
FRA03002	FRA03002_Ohnet	L'Âme de Pierre : ELTeC edition	Ohnet, Georges 
FRA02603	FRA02603_Malot	Conscience : ELTeC edition	Malot, Hector 
FRA03601	FRA03601_Proust	Du côté de chez Swann : ELTeC edition	Proust, Marcel 
FRA02203	FRA02203_Gouraud	Les Filles du professeur : ELTeC edition	Gouraud, Julie [Louise d'Aulnay] 
FRA00502	FRA00502_Balzac	Le cousin Pons : ELTeC edition	Balzac, Honoré de 
FRA03802	FRA03802_Stern	Nélida : ELTeC edition	Stern, Daniel [Marie d'Agoult] 
FRA00903	FRA00903_Daudet	Numa Roumestan : Mœurs Parisiennes : ELTeC edition	Daudet, Alphonse 
FRA02302	FRA02302_Greville	L’amie : ELTeC edition	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] 
FRA04102	FRA04102_Erckmann	Madame Thérèse, ou les volontaires de 92 : ELTeC edition	Erckmann, Émile 
FRA02401	FRA02401_LeRouge	L'Esclave amoureuse : ELTeC edition	Le Rouge, Gustave 
FRA02801	FRA02801_Mirbeau	L'abbé Jules : ELTeC edition	Mirbeau, Octave 
FRA03702	FRA03702_Sand	Le dernier amour : ELTeC edition	Sand, George [Amantine Lucile Aurore Dupin] 
FRA01902	FRA01902_Gaboriau	Monsieur Lecoq : ELTeC edition	Gaboriau, Émile 
FRA01602	FRA01602_GautierJ	Fleurs d'Orient : ELTeC edition	Gautier, Judith 
FRA00102	FRA00102_Adam	Païenne : ELTeC edition	Adam, Juliette 
FRA00901	FRA00901_Daudet	Le petit chose : ELTeC edition	Daudet, Alphonse 
FRA01102	FRA01102_Dombre	Folla : ELTeC edition	Dombre, Roger [Marguerite Sisson / Marguerite Ligeron] 
FRA00701	FRA00701_Carraud	La petite Jeanne : ELTeC edition	Carraud, Zulma 
FRA03701	FRA03701_Sand	Nanon : ELTeC edition	Sand, George [Amantine Lucile Aurore Dupin] 
FRA03201	FRA03201_Rachilde	La Marquise de Sade: ELTeC edition	Rachilde [Marguerite Vallette-Eymery] 
FRA03003	FRA03003_Ohnet	Le Marchand de Poison : ELTeC edition	Ohnet, Georges 
FRA01501	FRA01501_France	Les dieux ont soif: ELTeC edition	France, Anatole 
FRA02702	FRA02702_Maupassant	Une Vie : ELTeC edition	Maupassant, Guy de 
FRA01303	FRA01303_Flaubert	Salammbô : ELTeC edition	Flaubert, Gustave 
FRA03903	FRA03903_Stolz	Le Secret de Laurent : ELTeC edition	Stolz, Madame de [Fanny de Bégon] 
FRA02901	FRA02901_Noailles	La nouvelle espérance : ELTeC edition	Noailles, Anna de 
FRA02303	FRA02303_Greville	Ariadne : ELTeC edition	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] 
FRA03902	FRA03902_Stolz	La Maison blanche : ELTeC edition	Stolz, Madame de [Fanny de Bégon] 
FRA02201	FRA02201_Gouraud	Quand je serai grande : ELTeC edition	Gouraud, Julie [Louise d'Aulnay] 
FRA02301	FRA02301_Greville	La seconde mère : ELTeC edition	Gréville, Henry [Alice Marie Céleste Fleury, dite Durand] 
FRA02101	FRA02101_Girardin	Marguerite, ou Deux amours : ELTeC edition	Girardin, Delphine de [Delphine Gay] 
FRA03801	FRA03801_Stern	Hervé : ELTeC edition	Stern, Daniel [Marie d'Agoult] 
FRA00201	FRA00201_Audoux	Marie-Claire : ELTeC edition	Audoux, Marguerite 
FRA02601	FRA02601_Malot	Romain Kalbris : ELTeC edition	Malot, Hector 
FRA02202	FRA02202_Gouraud	Le petit colporteur : ELTeC edition	Gouraud, Julie [Louise d'Aulnay] 
FRA00801	FRA00801_Dash	Le château de Pinon I: ELTeC edition	Comtesse Dash [Gabrielle Anna de Cisternes de Courtiras, vicomtesse de Saint-Mars] 
FRA04202	FRA04202_Rolland	La nouvelle journée : ELTeC edition	Rolland, Romain 
FRA00101	FRA00101_Adam	Mon Village : ELTeC edition	Adam, Juliette 
FRA02502	FRA02502_Loti	Ramuntcho : ELTeC edition	Loti, Pierre 
FRA01202	FRA01202_Feval	Les Errants de nuit : ELTeC edition	Féval, Paul Henri Corentin [dit Paul Féval père] 
FRA01301	FRA01301_Flaubert	L'Éducation sentimentale : ELTeC edition	Flaubert, Gustave 
FRA02001	FRA02001_Gilbert	Vers le pôle en aéroplane : ELTeC edition	Gilbert, Jehan 
FRA03302	FRA03302_Rattazzi	Le piège aux maris : ELTeC edition	Rattazzi, Marie [Marie-Lætitia Bonaparte-Wyse] 
FRA04101	FRA04101_Erckmann	Une campagne en Kabylie : Récit d'un chasseur d'Afrique : ELTeC edition	Erckmann, Émile 
FRA04201	FRA04201_Rolland	L'aube : ELTeC edition	Rolland, Romain 
